Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,46,26,20,56.5%,62-48,56.4%,598-534,52.8%,13-10,56.5%,45,85.0%,21.1%,11.6%,3.3%,62.4%,76.9%,52.2%,67.6%,36.9%,51.8%,1.14
Clay,19,12,7,63.2%,28-20,58.3%,259-229,53.1%,2-5,28.6%,19,83.4%,23.3%,7.5%,4.1%,60.3%,74.2%,52.4%,65.5%,39.4%,52.1%,1.14
Grass,2,0,2,0.0%,1-5,16.7%,29-37,43.9%,0-2,0.0%,2,81.8%,9.7%,7.5%,3.5%,60.2%,74.4%,46.3%,63.2%,32.8%,48.0%,0.89
Grand Slams,9,5,4,55.6%,18-15,54.5%,179-157,53.3%,1-6,14.3%,9,86.0%,23.0%,12.4%,4.9%,57.8%,77.2%,51.9%,66.5%,38.5%,52.0%,1.15
Masters,23,14,9,60.9%,31-22,58.5%,278-250,52.7%,5-2,71.4%,23,79.2%,26.5%,7.7%,3.8%,62.4%,73.5%,49.1%,64.3%,39.9%,52.0%,1.12
Other Tours,32,19,13,59.4%,41-30,57.7%,399-351,53.2%,9-8,52.9%,31,87.9%,18.7%,11.0%,2.9%,62.7%,77.4%,54.2%,68.7%,36.3%,52.0%,1.16
Best of 5,9,5,4,55.6%,18-15,54.5%,179-157,53.3%,1-6,14.3%,9,86.0%,23.0%,12.4%,4.9%,57.8%,77.2%,51.9%,66.5%,38.5%,52.0%,1.15
Best of 3,58,33,25,56.9%,73-58,55.7%,707-643,52.4%,14-11,56.0%,57,84.1%,20.9%,9.6%,3.2%,62.7%,75.7%,52.0%,66.9%,37.2%,51.7%,1.12
Finals,3,2,1,66.7%,4-4,50.0%,42-41,50.6%,0-0,-,3,83.3%,17.1%,8.8%,4.2%,60.9%,75.2%,54.8%,67.2%,37.5%,51.3%,1.15
Semi-finals,5,3,2,60.0%,6-5,54.5%,61-56,52.1%,1-1,50.0%,5,87.9%,15.8%,8.1%,4.0%,66.6%,79.7%,49.1%,69.5%,33.7%,51.0%,1.10
Quarter-finals,12,5,7,41.7%,11-16,40.7%,138-141,49.5%,3-3,50.0%,11,82.7%,17.7%,8.8%,2.9%,62.6%,74.2%,50.1%,65.2%,35.0%,50.1%,1.01
vs Righties,62,35,27,56.5%,84-70,54.5%,827-756,52.2%,13-17,43.3%,62,83.9%,21.5%,10.0%,3.6%,61.2%,75.7%,51.7%,66.4%,37.5%,51.6%,1.12
vs Lefties,5,3,2,60.0%,7-3,70.0%,59-44,57.3%,2-0,100.0%,4,92.3%,18.4%,13.8%,3.0%,69.5%,80.7%,58.2%,73.8%,36.4%,54.1%,1.39
vs Top 10,8,3,5,37.5%,10-14,41.7%,114-117,49.4%,1-2,33.3%,8,81.6%,17.5%,8.7%,3.5%,64.2%,73.5%,49.4%,64.9%,34.7%,49.6%,0.99
