Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,38,20,18,52.6%,48-45,51.6%,459-445,50.8%,7-8,46.7%,32,82.9%,17.6%,8.2%,3.4%,67.5%,72.1%,52.2%,65.7%,35.4%,50.4%,1.03
Clay,27,21,6,77.8%,47-22,68.1%,355-282,55.7%,4-0,100.0%,26,79.3%,31.2%,5.4%,2.3%,66.0%,69.6%,54.4%,64.5%,41.7%,52.9%,1.17
Grass,2,1,1,50.0%,4-3,57.1%,38-39,49.4%,2-0,100.0%,2,84.2%,13.5%,14.2%,3.0%,61.6%,77.6%,55.1%,69.0%,37.9%,51.9%,1.22
Grand Slams,14,10,4,71.4%,31-21,59.6%,252-233,52.0%,6-1,85.7%,13,79.5%,23.8%,7.7%,3.5%,65.4%,71.7%,52.1%,64.9%,39.2%,51.7%,1.12
Masters,20,10,10,50.0%,24-22,52.2%,226-207,52.2%,1-3,25.0%,19,79.2%,25.4%,7.0%,3.4%,65.4%,70.5%,52.8%,64.4%,38.6%,51.3%,1.09
Other Tours,25,17,8,68.0%,34-20,63.0%,288-250,53.5%,5-3,62.5%,24,84.8%,21.5%,6.9%,2.5%,67.9%,71.4%,56.0%,66.5%,37.8%,52.0%,1.13
Best of 5,14,10,4,71.4%,31-21,59.6%,252-233,52.0%,6-1,85.7%,13,79.5%,23.8%,7.7%,3.5%,65.4%,71.7%,52.1%,64.9%,39.2%,51.7%,1.12
Best of 3,53,32,21,60.4%,68-49,58.1%,600-533,53.0%,7-7,50.0%,47,82.4%,22.6%,7.1%,2.7%,67.2%,71.2%,53.9%,65.5%,37.6%,51.5%,1.09
Finals,4,2,2,50.0%,4-4,50.0%,40-41,49.4%,0-1,0.0%,4,82.9%,15.4%,4.3%,1.6%,71.3%,69.0%,54.1%,64.7%,37.4%,50.6%,1.06
Semi-finals,6,4,2,66.7%,9-8,52.9%,72-83,46.5%,3-0,100.0%,6,72.0%,19.5%,3.5%,2.0%,63.6%,68.3%,45.8%,60.1%,33.9%,47.2%,0.85
Quarter-finals,6,5,1,83.3%,7-4,63.6%,61-49,55.5%,0-1,0.0%,5,84.5%,26.8%,5.3%,2.0%,68.1%,68.3%,60.5%,65.8%,39.7%,52.7%,1.16
vs Righties,57,35,22,61.4%,84-63,57.1%,731-673,52.1%,11-6,64.7%,51,80.6%,22.4%,6.8%,2.8%,66.7%,71.0%,52.7%,64.9%,37.7%,51.2%,1.08
vs Lefties,10,7,3,70.0%,15-7,68.2%,121-93,56.5%,2-2,50.0%,9,87.0%,27.1%,10.2%,3.6%,65.8%,73.4%,57.1%,67.9%,40.5%,53.7%,1.26
vs Top 10,9,6,3,66.7%,11-9,55.0%,94-92,50.5%,0-1,0.0%,8,81.5%,20.4%,6.6%,1.3%,68.3%,72.0%,49.4%,64.8%,33.2%,49.5%,0.94
