Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,64,61,3,95.3%,143-20,87.7%,958-587,62.0%,19-3,86.4%,63,92.5%,29.7%,10.3%,2.4%,60.6%,79.2%,59.4%,71.4%,41.6%,55.8%,1.45
Clay,14,11,3,78.6%,30-8,78.9%,213-140,60.3%,1-1,50.0%,13,88.1%,32.6%,5.7%,2.8%,62.0%,78.8%,54.3%,69.5%,42.9%,55.5%,1.40
Grass,10,9,1,90.0%,24-8,75.0%,189-149,55.9%,9-4,69.2%,10,92.7%,17.4%,12.1%,2.0%,64.5%,81.4%,57.1%,72.8%,36.3%,53.5%,1.33
Grand Slams,32,30,2,93.8%,94-16,85.5%,634-401,61.3%,14-2,87.5%,32,90.9%,30.3%,9.1%,2.6%,60.3%,79.1%,57.7%,70.6%,42.2%,55.7%,1.43
Masters,33,29,4,87.9%,59-12,83.1%,414-265,61.0%,6-2,75.0%,31,91.8%,28.8%,9.9%,2.5%,61.4%,80.0%,59.2%,72.0%,41.1%,55.6%,1.47
Other Tours,15,14,1,93.3%,28-8,77.8%,215-159,57.5%,8-4,66.7%,15,93.5%,20.0%,9.6%,2.3%,63.6%,79.7%,56.6%,71.3%,37.3%,53.5%,1.30
Best of 5,32,30,2,93.8%,94-16,85.5%,634-401,61.3%,14-2,87.5%,32,90.9%,30.3%,9.1%,2.6%,60.3%,79.1%,57.7%,70.6%,42.2%,55.7%,1.43
Best of 3,56,51,5,91.1%,103-20,83.7%,726-475,60.4%,15-6,71.4%,54,92.7%,26.7%,10.5%,2.2%,62.3%,79.9%,58.8%,71.9%,40.0%,55.2%,1.42
Finals,10,9,1,90.0%,22-4,84.6%,156-116,57.4%,6-1,85.7%,10,91.7%,20.5%,10.2%,2.5%,58.9%,79.8%,56.9%,70.4%,36.3%,53.0%,1.22
Semi-finals,13,10,3,76.9%,27-9,75.0%,204-146,58.3%,6-1,85.7%,13,89.0%,25.3%,9.3%,1.8%,61.3%,75.5%,58.8%,69.1%,40.4%,54.3%,1.31
Quarter-finals,15,12,3,80.0%,30-9,76.9%,222-159,58.3%,6-3,66.7%,14,91.5%,24.2%,9.3%,2.6%,60.4%,81.4%,56.7%,71.6%,39.3%,54.3%,1.38
vs Righties,81,74,7,91.4%,179-35,83.6%,1244-805,60.7%,24-8,75.0%,79,92.0%,28.0%,10.0%,2.5%,61.1%,79.6%,58.0%,71.2%,40.8%,55.3%,1.42
vs Lefties,7,7,0,100.0%,18-1,94.7%,116-71,62.0%,5-0,100.0%,7,90.1%,31.9%,8.4%,2.0%,64.3%,78.2%,62.2%,72.5%,43.3%,56.8%,1.58
vs Top 10,25,20,5,80.0%,54-19,74.0%,406-304,57.2%,10-4,71.4%,25,89.8%,22.7%,9.4%,2.1%,60.2%,78.3%,57.9%,70.2%,38.5%,53.8%,1.29
