Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,27,20,7,74.1%,48-18,72.7%,374-264,58.6%,7-8,46.7%,26,89.4%,26.2%,10.5%,3.5%,65.4%,76.7%,55.7%,69.4%,39.4%,54.1%,1.29
Clay,15,10,5,66.7%,26-12,68.4%,203-149,57.7%,1-1,50.0%,14,79.0%,36.2%,4.8%,2.2%,64.5%,70.7%,53.0%,64.4%,43.6%,54.0%,1.22
Grass,7,6,1,85.7%,15-5,75.0%,112-85,56.9%,2-1,66.7%,6,89.9%,22.1%,10.7%,3.1%,67.5%,78.7%,55.9%,71.3%,38.5%,54.1%,1.34
Grand Slams,21,17,4,81.0%,48-16,75.0%,362-259,58.3%,4-4,50.0%,19,87.8%,28.1%,9.0%,3.8%,63.5%,75.1%,55.3%,67.9%,40.7%,54.1%,1.27
Masters,20,14,6,70.0%,30-13,69.8%,238-176,57.5%,6-4,60.0%,20,83.9%,30.2%,8.1%,2.4%,67.8%,75.4%,55.9%,69.1%,41.0%,54.3%,1.33
Other Tours,7,4,3,57.1%,9-6,60.0%,77-62,55.4%,0-2,0.0%,7,86.8%,26.1%,10.0%,1.8%,68.0%,75.2%,50.0%,67.1%,37.4%,53.0%,1.14
Best of 5,21,17,4,81.0%,48-16,75.0%,362-259,58.3%,4-4,50.0%,19,87.8%,28.1%,9.0%,3.8%,63.5%,75.1%,55.3%,67.9%,40.7%,54.1%,1.27
Best of 3,28,19,9,67.9%,41-19,68.3%,327-239,57.8%,6-6,50.0%,27,84.6%,29.1%,8.6%,2.2%,67.8%,75.3%,54.3%,68.6%,40.1%,53.9%,1.28
Finals,3,0,3,0.0%,0-7,0.0%,31-46,40.3%,0-4,0.0%,3,80.6%,5.4%,8.2%,2.1%,70.8%,72.1%,48.5%,65.2%,29.6%,47.1%,0.85
Semi-finals,6,3,3,50.0%,9-5,64.3%,75-61,55.1%,2-1,66.7%,6,82.4%,26.2%,6.8%,2.0%,66.0%,72.4%,49.7%,64.6%,40.8%,52.9%,1.15
Quarter-finals,8,6,2,75.0%,11-4,73.3%,88-66,57.1%,1-2,33.3%,6,86.8%,28.0%,7.9%,1.5%,68.5%,73.8%,57.1%,68.5%,37.7%,52.9%,1.20
vs Righties,45,34,11,75.6%,85-31,73.3%,653-469,58.2%,10-10,50.0%,43,87.3%,28.6%,8.9%,3.0%,65.9%,75.5%,55.2%,68.6%,40.6%,54.3%,1.29
vs Lefties,3,1,2,33.3%,2-4,33.3%,24-28,46.2%,0-0,-,3,65.4%,26.9%,8.0%,4.7%,55.3%,67.5%,49.3%,59.3%,38.1%,48.4%,0.94
vs Top 10,8,3,5,37.5%,6-9,40.0%,74-79,48.4%,1-3,25.0%,6,81.3%,16.2%,6.4%,1.8%,64.1%,69.1%,55.9%,64.3%,34.9%,49.8%,0.98
