Rk;Player;M;M W-L;M W%;SPW;SPW-InP;Aces;Ace%;DFs;DF%;DF/2s;1stIn;1st%;2nd%;2%-InP;Hld%;Pts/SG;PtsL/SG;Rk;Player;M;RPW;RPW-InP;vAce%;vDF%;v1st%;v2nd%;Brk%;Pts/RG;PtsW/RG;MdOppRk;MnOppRk;Rk;Player;M;BPConv%;BPConv;BPChnc;BP/G;BP/S;BP/M;Bks/S;Bks/M;BPSvd%;BPSaved;BPvs;BPvs/G;BPvs/S;BPvs/M;Bkn/S;Bkn/M;Rk;Player;M;DR;Points;TPW%;TBs;TB W-L;TB W%;TB/S;Sets;Set W-L;S W%;Gms;Game W-L;G W%;Time/Mt;Min/Set;Sec/Pt
1;Jannik Sinner [ITA];79;64-15;81.0%;68.0%;66.9%;492;8.2%;146;2.4%;6.0%;59.8%;76.0%;56.1%;59.7%;87.3%;6.2;2.0;1;Jannik Sinner [ITA];79;40.6%;41.8%;7.4%;3.3%;32.4%;54.2%;28.6%;6.6;2.7;38.5;57.6;1;Jannik Sinner [ITA];79;42.3%;277;655;0.68;3.2;8.3;1.34;3.5;69.2%;278;402;0.41;1.9;5.1;0.60;1.6;1;Jannik Sinner [ITA];79;1.27;12459;53.9%;31;18-13;58.1%;15.0%;207;150-57;72.5%;1948;1133-815;58.2%;1:59;45.3;45.2
2;Alexander Zverev [GER];82;55-27;67.1%;66.5%;65.4%;650;10.2%;237;3.7%;12.6%;70.5%;73.7%;49.2%;56.3%;84.2%;6.2;2.1;2;Alexander Zverev [GER];82;37.7%;38.0%;6.1%;3.3%;29.2%;51.6%;23.1%;6.5;2.4;50.0;54.3;2;Alexander Zverev [GER];82;36.8%;238;646;0.63;3.1;7.9;1.13;2.9;62.6%;270;431;0.42;2.1;5.3;0.77;2.0;2;Alexander Zverev [GER];82;1.12;13022;51.8%;39;18-21;46.2%;18.6%;210;127-83;60.5%;2051;1097-954;53.5%;2:02;47.6;46.1
3;Carlos Alcaraz [ESP];77;65-12;84.4%;66.8%;66.9%;317;5.4%;168;2.9%;8.4%;65.7%;72.2%;56.3%;61.5%;85.4%;6.2;2.1;3;Carlos Alcaraz [ESP];77;42.0%;41.7%;4.7%;3.9%;34.9%;53.8%;30.9%;6.8;2.9;28.0;54.4;3;Carlos Alcaraz [ESP];77;40.0%;288;720;0.77;3.7;9.4;1.46;3.7;64.9%;253;390;0.42;2.0;5.1;0.70;1.8;3;Carlos Alcaraz [ESP];77;1.26;12160;53.9%;28;19-sep;67.9%;14.2%;197;154-43;78.2%;1870;1088-782;58.2%;2:03;47.9;46.6
4;Taylor Fritz [USA];76;53-23;69.7%;68.8%;66.7%;722;12.2%;172;2.9%;7.3%;60.0%;78.4%;54.3%;58.6%;86.7%;6.1;1.9;4;Taylor Fritz [USA];76;37.7%;37.8%;6.8%;3.9%;28.3%;53.0%;22.5%;6.5;2.4;55.0;69.9;4;Taylor Fritz [USA];76;41.8%;212;507;0.54;2.6;6.7;1.09;2.8;65.7%;247;376;0.39;1.9;4.9;0.66;1.7;4;Taylor Fritz [USA];76;1.21;12036;53.0%;42;25-17;59.5%;21.5%;195;130-65;66.7%;1908;1050-858;55.0%;1:51;43.2;42.0
5;Daniil Medvedev [RUS];84;66-18;78.6%;66.0%;66.5%;591;9.2%;347;5.4%;15.1%;64.2%;75.4%;49.1%;57.8%;84.7%;6.4;2.2;5;Daniil Medvedev [RUS];84;40.9%;41.0%;4.0%;2.7%;33.2%;54.2%;30.5%;6.5;2.6;27.0;44.0;5;Daniil Medvedev [RUS];84;46.2%;306;663;0.66;3.2;7.9;1.46;3.6;66.5%;306;460;0.46;2.2;5.5;0.73;1.8;5;Daniil Medvedev [RUS];84;1.20;12896;53.4%;32;17-15;53.1%;15.2%;210;151-59;71.9%;2008;1156-852;57.6%;1:55;45.9;44.9
6;Casper Ruud [NOR];59;36-23;61.0%;64.9%;64.8%;315;6.3%;167;3.4%;9.2%;63.5%;71.3%;53.7%;59.1%;83.1%;6.4;2.3;6;Casper Ruud [NOR];59;37.9%;38.5%;7.3%;3.6%;30.3%;50.7%;23.2%;6.5;2.5;58.0;68.7;6;Casper Ruud [NOR];59;38.2%;177;463;0.61;2.9;7.8;1.12;3.0;66.6%;261;392;0.51;2.5;6.6;0.83;2.2;6;Casper Ruud [NOR];59;1.08;9944;51.4%;31;18-13;58.1%;19.6%;158;95-63;60.1%;1537;820-717;53.4%;2:07;47.5;45.3
7;Novak Djokovic [SRB];63;56-7;88.9%;69.9%;69.6%;456;8.6%;179;3.4%;9.4%;63.9%;77.0%;57.4%;63.3%;88.9%;6.1;1.8;7;Novak Djokovic [SRB];63;41.0%;43.0%;8.7%;3.2%;32.9%;54.8%;28.8%;6.8;2.8;23.0;41.4;7;Novak Djokovic [SRB];63;41.6%;242;582;0.69;3.3;9.2;1.38;3.8;67.1%;198;295;0.34;1.7;4.7;0.55;1.5;7;Novak Djokovic [SRB];63;1.36;11027;54.9%;39;31-ago;79.5%;22.2%;176;144-32;81.8%;1709;1015-694;59.4%;2:16;48.8;46.8
8;Andrey Rublev [RUS];81;56-25;69.1%;66.1%;64.4%;628;9.4%;162;2.4%;6.3%;61.5%;75.4%;51.3%;54.8%;84.2%;6.3;2.1;8;Andrey Rublev [RUS];81;38.6%;39.4%;8.1%;3.8%;29.9%;52.9%;24.7%;6.6;2.6;39.0;46.4;8;Andrey Rublev [RUS];81;39.0%;260;666;0.63;3.1;8.2;1.20;3.2;62.9%;286;455;0.43;2.1;5.6;0.78;2.1;8;Andrey Rublev [RUS];81;1.14;13680;52.1%;36;19-17;52.8%;16.6%;217;139-78;64.1%;2119;1158-961;54.6%;1:57;43.8;41.7
9;Alex De Minaur [AUS];72;46-26;63.9%;64.0%;64.7%;249;4.7%;191;3.6%;8.2%;56.6%;72.2%;53.3%;58.1%;79.3%;6.3;2.3;9;Alex De Minaur [AUS];72;40.7%;40.7%;5.6%;3.8%;33.7%;51.9%;28.4%;6.6;2.7;45.5;88.2;9;Alex De Minaur [AUS];72;42.0%;243;579;0.68;3.2;8.0;1.34;3.4;58.4%;247;423;0.50;2.3;5.9;0.97;2.4;9;Alex De Minaur [AUS];72;1.13;10996;52.0%;23;14-sep;60.9%;12.6%;182;107-75;58.8%;1705;916-789;53.7%;1:47;42.2;41.9
10;Grigor Dimitrov [BUL];62;41-21;66.1%;66.6%;66.3%;461;9.5%;212;4.4%;11.3%;61.1%;76.6%;51.0%;57.5%;83.9%;6.2;2.1;10;Grigor Dimitrov [BUL];62;38.0%;38.9%;7.5%;3.3%;30.0%;51.2%;23.9%;6.5;2.5;31.5;41.7;10;Grigor Dimitrov [BUL];62;40.4%;182;450;0.59;2.8;7.3;1.14;2.9;62.9%;212;337;0.43;2.1;5.4;0.79;2.0;10;Grigor Dimitrov [BUL];62;1.14;9762;52.2%;36;18-18;50.0%;22.6%;159;100-59;62.9%;1539;835-704;54.3%;1:57;45.5;44.5
