Ranking,Jugador,Nacionality,Age,Hand,Backhand,saque,resto,break_saque,break_resto,saque_clay,resto_clay,break_saque_clay,break_resto_clay,Elo,cElo,hElo,Elo Rank,cElo Rank,hElo Rank
1,Jannik Sinner,ITA,23,Right,two-handed,s,s,s,s,a,a,s,s,2209.6,2036.3,2175.7,1,3,1
2,Alexander Zverev,GER,27,Right,two-handed,a,b,s,s,a,s,a,a,2069.7,2010.2,2025.8,5,4,5
3,Carlos Alcaraz,ESP,21,Right,two-handed,a,s,a,a,b,s,s,s,2165.9,2126.0,2088.7,2,1,3
4,Daniil Medvedev,RUS,28,Right,two-handed,b,s,b,s,b,s,b,b,2002.1,1922.5,1960.6,7,12,7
5,Casper Ruud,NOR,25,Right,two-handed,a,b,a,b,b,b,b,a,1988.1,1984.3,1896.2,11,5,16
6,Novak Djokovic,SRB,37,Right,two-handed,a,a,a,a,b,a,b,s,2147.8,2060.2,2107.8,3,2,2
7,Andrey Rublev,RUS,27,Right,two-handed,a,b,a,b,b,b,s,b,1894.6,1860.5,1860.1,27,18,26
8,Stefanos Tsitsipas,GRE,26,Right,one-handed,a,b,a,b,b,b,s,b,1956.6,1966.6,1891.8,14,7,18
9,Holger Rune,DEN,21,Right,two-handed,a,b,a,b,b,b,b,b,1967.6,1922.9,1914.5,13,11,12
10,Hubert Hurkacz,POL,27,Right,two-handed,s,b,a,b,s,b,s,b,1914.6,1856.7,1862.3,23,19,25
