Ranking,Jugador,Nacionality,Age,Hand,Backhand,saque,resto,break_saque,break_rest
1,Jannik Sinner,ITA,23,Right,two-handed,s,s,s,s
2,Alexander Zverev,GER,27,Right,two-handed,s,a,s,a
3,Carlos Alcaraz,ESP,21,Right,two-handed,a,s,a,b
4,Daniil Medvedev,RUS,28,Right,two-handed,b,s,s,c
5,Casper Ruud,NOR,25,Right,two-handed,a,b,b,b
6,Novak Djokovic,SRB,37,Right,two-handed,a,a,a,b
7,Andrey Rublev,RUS,27,Right,two-handed,a,b,b,a
8,Stefanos Tsitsipas,GRE,26,Right,one-handed,a,b,b,a
9,Holger Rune,DEN,21,Right,two-handed,a,b,b,b
10,Hubert Hurkacz,POL,27,Right,two-handed,s,b,b,a
