Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Indian Wells Masters R64,L vsGriekspoor,31,36,0.9,12.9%,15.0%,24,34,0.7,11.4%,16.1%,6.6%,4.3%,0.8,15.8%,20.8%
2025 Rio de Janeiro QF,L vsComesana,25,25,1.0,14.7%,14.7%,17,21,0.8,11.2%,13.8%,8.6%,2.0%,1.0,16.5%,17.1%
2025 Buenos Aires QF,L vsCerundolo,17,36,0.5,10.1%,21.3%,12,33,0.4,7.7%,21.3%,5.8%,1.3%,0.8,14.2%,17.2%
2025 Australian Open F,L vsSinner,23,41,0.6,12.1%,21.6%,11,39,0.3,6.5%,23.2%,4.2%,2.4%,1.5,15.3%,10.0%
2025 Australian Open SF,W vsDjokovic,29,15,1.9,31.5%,16.3%,21,14,1.5,26.9%,17.9%,11.5%,7.7%,1.2,22.8%,19.6%
2025 Australian Open QF,W vsPaul,25,34,0.7,10.0%,13.5%,18,29,0.6,7.9%,12.7%,5.3%,2.2%,0.7,17.9%,25.5%
2025 Australian Open R16,W vsHumbert,56,27,2.1,29.6%,14.3%,36,24,1.5,23.8%,15.9%,9.3%,6.0%,1.3,23.8%,18.5%
2025 Australian Open R64,W vsMartinez,48,27,1.8,33.3%,18.8%,39,25,1.6,30.2%,19.4%,13.2%,7.0%,1.0,14.6%,14.6%
2025 United Cup RR,W vsMonteiro,36,14,2.6,34.6%,13.5%,24,11,2.2,29.6%,13.6%,13.6%,2.5%,1.4,24.0%,17.3%
2024 Tour Finals SF,L vsFritz,33,26,1.3,17.0%,13.4%,23,24,1.0,13.9%,14.5%,6.0%,7.8%,1.0,16.0%,16.5%
2024 Tour Finals RR,W vsRuud,47,19,2.5,40.2%,16.2%,36,18,2.0,35.3%,17.6%,15.7%,7.8%,2.3,23.1%,10.3%
2024 Tour Finals RR,W vsRublev,35,14,2.5,35.4%,14.1%,25,14,1.8,29.4%,16.5%,12.9%,3.5%,1.2,20.2%,17.2%
2024 Tour Finals RR,W vsAlcaraz,28,19,1.5,17.8%,12.1%,19,18,1.1,13.5%,12.8%,6.4%,7.1%,1.0,16.6%,15.9%
2024 Paris Masters F,W vsHumbert,29,9,3.2,32.6%,10.1%,25,9,2.8,32.1%,11.5%,14.1%,6.4%,0.9,20.2%,21.3%
2024 Paris Masters SF,W vsRune,25,21,1.2,17.6%,14.8%,17,18,0.9,14.2%,15.0%,10.8%,3.3%,0.9,17.6%,20.4%
2024 Paris Masters QF,W vsTsitsipas,28,15,1.9,21.4%,11.5%,19,13,1.5,16.7%,11.4%,8.8%,2.6%,0.8,15.3%,18.3%
2024 Vienna R16,W vsGiron,47,11,4.3,44.8%,10.5%,37,11,3.4,41.6%,12.4%,14.6%,10.1%,2.1,21.9%,10.5%
2024 US Open QF,L vsFritz,52,42,1.2,19.0%,15.4%,38,38,1.0,16.0%,16.0%,5.5%,5.5%,0.9,16.5%,17.6%
2024 US Open R16,W vsNakashima,51,33,1.5,26.3%,17.0%,37,30,1.2,21.9%,17.8%,14.2%,7.1%,0.5,9.3%,17.0%
2024 US Open R32,W vsEtcheverry,54,58,0.9,20.9%,22.5%,42,52,0.8,18.3%,22.6%,10.4%,6.1%,0.7,10.9%,14.7%
2024 US Open R64,W vsMuller,43,29,1.5,21.5%,14.5%,28,27,1.0,15.7%,15.2%,10.7%,5.1%,0.7,13.5%,20.5%
2024 US Open R128,W vsMarterer,42,44,1.0,18.1%,19.0%,21,38,0.6,10.9%,19.7%,4.1%,5.7%,0.6,10.8%,18.5%
2024 Cincinnati Masters SF,L vsSinner,63,48,1.3,25.7%,19.6%,48,43,1.1,22.7%,20.4%,6.6%,4.7%,1.4,25.3%,17.6%
2024 Cincinnati Masters QF,W vsShelton,30,34,0.9,15.2%,17.2%,20,26,0.8,12.3%,16.0%,5.6%,2.5%,0.7,15.2%,23.2%
2024 Canada Masters QF,L vsKorda,30,35,0.9,15.7%,18.3%,25,24,1.0,15.1%,14.5%,7.2%,3.0%,0.7,13.6%,18.8%
