Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Miami Masters R64,L vsGoffin,35,34,1.0,18.5%,18.0%,27,32,0.8,15.5%,18.4%,9.2%,5.7%,1.2,12.2%,10.6%
2025 Indian Wells Masters SF,L vsDraper,32,33,1.0,23.0%,23.7%,29,29,1.0,23.0%,23.0%,12.7%,5.6%,1.2,21.6%,18.0%
2025 Indian Wells Masters QF,W vsCerundolo,34,23,1.5,23.3%,15.8%,29,18,1.6,22.1%,13.7%,13.0%,1.5%,1.0,21.9%,21.2%
2025 Indian Wells Masters R16,W vsDimitrov,26,14,1.9,25.2%,13.6%,20,12,1.7,22.2%,13.3%,10.0%,5.6%,0.6,15.5%,27.2%
2025 Indian Wells Masters R32,W vsShapovalov,32,23,1.4,26.2%,18.9%,30,18,1.7,28.6%,17.1%,11.4%,4.8%,1.1,23.0%,20.5%
2025 Indian Wells Masters R64,W vsHalys,38,16,2.4,39.2%,16.5%,30,13,2.3,35.7%,15.5%,10.7%,10.7%,1.5,17.5%,11.3%
2025 Doha QF,L vsLehecka,49,21,2.3,28.5%,12.2%,42,18,2.3,27.6%,11.8%,12.5%,3.9%,1.4,25.6%,18.6%
2025 Doha R32,W vsCilic,32,18,1.8,23.9%,13.4%,29,16,1.8,24.0%,13.2%,5.0%,5.8%,1.0,24.6%,24.6%
2025 Rotterdam F,W vsDe Minaur,42,39,1.1,27.3%,25.3%,40,38,1.1,27.4%,26.0%,11.6%,4.1%,0.9,14.9%,17.5%
2025 Rotterdam SF,W vsHurkacz,55,31,1.8,28.2%,15.9%,50,27,1.9,28.6%,15.4%,14.9%,4.0%,1.8,26.7%,14.9%
2025 Rotterdam QF,W vsMartinez,33,18,1.8,35.5%,19.4%,26,16,1.6,32.5%,20.0%,18.8%,8.8%,0.5,11.8%,25.8%
2025 Rotterdam R16,W vsVavassori,28,11,2.5,29.5%,11.6%,27,11,2.5,31.8%,12.9%,14.1%,7.1%,0.9,22.1%,25.3%
2025 Rotterdam R32,W vsVan De Zandschulp,45,53,0.8,23.1%,27.2%,42,48,0.9,24.0%,27.4%,14.9%,1.7%,0.7,13.8%,20.5%
2025 Australian Open QF,L vsDjokovic,49,46,1.1,18.8%,17.6%,39,41,1.0,16.4%,17.2%,11.3%,4.6%,0.9,10.7%,11.5%
2025 Australian Open R32,W vsBorges,54,48,1.1,22.0%,19.5%,45,45,1.0,19.6%,19.6%,14.8%,3.9%,0.4,6.5%,15.4%
2025 Australian Open R64,W vsNishioka,47,21,2.2,38.8%,17.4%,33,18,1.8,33.0%,18.0%,16.0%,5.0%,0.6,12.4%,19.8%
2025 Australian Open R128,W vsShevchenko,51,31,1.6,30.0%,18.2%,45,27,1.7,28.1%,16.9%,11.9%,6.9%,0.9,17.6%,20.0%
2024 Davis Cup RR,W vsGriekspoor,24,14,1.7,20.9%,12.2%,13,13,1.0,14.1%,14.1%,10.9%,3.3%,0.9,15.7%,18.3%
2024 Tour Finals RR,L vsRuud,28,28,1.0,23.7%,23.7%,24,26,0.9,22.4%,24.3%,15.9%,3.7%,1.4,14.4%,10.2%
2024 Tour Finals RR,L vsZverev,26,25,1.0,16.6%,15.9%,20,25,0.8,14.2%,17.7%,11.3%,2.8%,1.5,17.8%,12.1%
2024 Tour Finals RR,W vsRublev,32,20,1.6,23.0%,14.4%,22,17,1.3,18.6%,14.4%,13.6%,4.2%,0.8,10.8%,12.9%
2024 Paris Masters R16,L vsHumbert,26,22,1.2,15.2%,12.9%,19,17,1.1,12.8%,11.5%,7.4%,3.4%,1.0,15.2%,15.8%
2024 Paris Masters R32,W vsJarry,32,14,2.3,27.1%,11.9%,23,14,1.6,22.5%,13.7%,3.9%,1.0%,1.1,28.0%,25.4%
2024 Shanghai Masters QF,L vsMachac,38,16,2.4,23.8%,10.0%,31,15,2.1,21.4%,10.3%,6.2%,6.2%,1.5,31.9%,21.3%
2024 Shanghai Masters R16,W vsMonfils,38,19,2.0,29.5%,14.7%,34,19,1.8,29.8%,16.7%,14.0%,3.5%,1.8,27.9%,15.5%
2024 Shanghai Masters R64,W vsShang,31,14,2.2,31.3%,14.1%,28,14,2.0,30.1%,15.1%,15.1%,4.3%,0.9,17.2%,19.2%
2024 Beijing F,W vsSinner,80,54,1.5,31.7%,21.4%,73,52,1.4,31.3%,22.3%,17.2%,6.9%,1.3,19.8%,15.5%
2024 Beijing SF,W vsMedvedev,38,16,2.4,31.9%,13.4%,35,15,2.3,31.8%,13.6%,16.4%,6.4%,1.5,25.2%,16.8%
2024 Beijing QF,W vsKhachanov,41,21,2.0,30.6%,15.7%,39,19,2.1,31.2%,15.2%,16.0%,6.4%,1.1,20.9%,18.7%
2024 Beijing R16,W vsGriekspoor,33,15,2.2,39.3%,17.9%,29,15,1.9,36.7%,19.0%,17.7%,5.1%,0.8,13.1%,16.7%
2024 Beijing R32,W vsMpetshi Perricard,28,16,1.8,25.2%,14.4%,23,15,1.5,25.0%,16.3%,12.0%,3.3%,1.2,27.0%,22.5%
2024 US Open R64,L vsVan De Zandschulp,21,27,0.8,12.7%,16.4%,19,26,0.7,12.4%,17.0%,10.5%,1.3%,1.0,13.3%,12.7%
2024 US Open R128,W vsTu,50,30,1.7,23.7%,14.2%,42,26,1.6,22.0%,13.6%,16.8%,2.6%,0.6,9.0%,15.2%
2024 Cincinnati Masters R32,L vsMonfils,30,40,0.8,13.8%,18.3%,23,32,0.7,13.1%,18.2%,10.2%,2.3%,0.6,14.7%,22.9%
2024 Paris Olympics F,L vsDjokovic,41,28,1.5,21.5%,14.7%,40,27,1.5,21.5%,14.5%,16.1%,5.4%,1.4,13.1%,9.4%
2024 Paris Olympics SF,W vsAuger Aliassime,13,9,1.4,14.0%,9.7%,11,7,1.6,13.3%,8.4%,9.6%,3.6%,0.3,8.6%,24.7%
2024 Paris Olympics QF,W vsPaul,27,19,1.4,18.4%,12.9%,21,17,1.2,15.3%,12.4%,10.9%,4.4%,1.4,13.6%,9.5%
2024 Paris Olympics R32,W vsGriekspoor,23,16,1.4,18.0%,12.5%,18,15,1.2,15.4%,12.8%,14.5%,0.9%,0.5,10.2%,18.8%
2024 Paris Olympics R64,W vsHabib,27,12,2.3,24.5%,10.9%,22,10,2.2,22.7%,10.3%,8.2%,14.4%,0.4,8.2%,20.0%
2024 Wimbledon F,W vsDjokovic,42,24,1.8,21.4%,12.2%,37,18,2.1,21.4%,10.4%,13.9%,6.9%,1.0,13.3%,12.8%
2024 Wimbledon SF,W vsMedvedev,55,37,1.5,22.5%,15.2%,49,35,1.4,21.8%,15.6%,14.7%,6.7%,1.3,12.7%,9.8%
2024 Wimbledon QF,W vsPaul,36,37,1.0,14.1%,14.5%,29,35,0.8,12.0%,14.5%,8.3%,3.7%,0.4,8.2%,20.0%
2024 Wimbledon R16,W vsHumbert,45,33,1.4,18.9%,13.9%,31,27,1.1,15.0%,13.0%,10.1%,3.4%,1.3,19.7%,14.7%
2024 Wimbledon R32,W vsTiafoe,55,39,1.4,17.5%,12.4%,39,34,1.1,14.0%,12.2%,8.3%,5.0%,1.3,12.4%,9.6%
2024 Wimbledon R64,W vsVukic,42,15,2.8,26.1%,9.3%,31,13,2.4,21.5%,9.0%,12.5%,9.0%,0.9,11.8%,13.7%
2024 Wimbledon R128,W vsLajal,44,28,1.6,23.0%,14.7%,40,24,1.7,23.0%,13.8%,18.4%,2.3%,0.9,12.6%,14.7%
2024 Queen's Club R16,L vsDraper,23,22,1.0,16.3%,15.6%,16,21,0.8,13.1%,17.2%,9.0%,2.5%,1.7,17.7%,10.6%
2024 Roland Garros F,W vsZverev,71,61,1.2,24.3%,20.9%,68,55,1.2,25.3%,20.4%,13.0%,4.8%,1.1,18.2%,17.1%
2024 Roland Garros SF,W vsSinner,61,60,1.0,20.9%,20.5%,53,53,1.0,20.2%,20.2%,14.1%,6.1%,0.9,13.4%,15.4%
2024 Roland Garros QF,W vsTsitsipas,25,17,1.5,13.7%,9.3%,22,16,1.4,12.8%,9.3%,8.7%,4.1%,1.0,14.3%,14.8%
2024 Roland Garros R16,W vsAuger Aliassime,45,26,1.7,27.6%,16.0%,44,24,1.8,28.4%,15.5%,15.5%,6.5%,0.7,17.2%,26.4%
2024 Roland Garros R32,W vsKorda,38,23,1.7,17.8%,10.7%,35,23,1.5,16.8%,11.1%,11.1%,5.8%,0.5,9.3%,20.1%
2024 Roland Garros R64,W vsDe Jong,33,43,0.8,14.0%,18.2%,31,41,0.8,13.9%,18.4%,10.8%,2.7%,0.6,10.6%,17.8%
2024 Roland Garros R128,W vsWolf,27,20,1.4,21.3%,15.7%,22,19,1.2,18.3%,15.8%,12.5%,5.0%,0.4,9.4%,25.2%
2024 Madrid Masters QF,L vsRublev,40,28,1.4,24.0%,16.8%,39,26,1.5,24.8%,16.6%,10.2%,3.8%,1.7,28.7%,16.8%
2024 Madrid Masters R64,W vsShevchenko,33,17,1.9,35.5%,18.3%,32,17,1.9,34.8%,18.5%,13.0%,12.0%,0.5,9.7%,21.5%
2024 Miami Masters QF,L vsDimitrov,17,21,0.8,14.8%,18.3%,14,18,0.8,13.3%,17.1%,9.5%,3.8%,1.3,21.7%,16.5%
2024 Miami Masters R16,W vsMusetti,24,16,1.5,21.1%,14.0%,21,15,1.4,19.3%,13.8%,15.6%,2.8%,0.8,11.4%,14.0%
2024 Miami Masters R32,W vsMonfils,21,16,1.3,22.3%,17.0%,20,16,1.3,23.5%,18.8%,11.8%,1.2%,0.6,16.0%,28.7%
2024 Miami Masters R64,W vsCarballes Baena,23,15,1.5,22.8%,14.9%,20,14,1.4,21.3%,14.9%,12.8%,7.4%,0.6,8.9%,13.9%
2024 Indian Wells Masters F,W vsMedvedev,23,29,0.8,16.3%,20.6%,20,28,0.7,15.3%,21.4%,13.7%,1.5%,0.4,7.8%,18.4%
2024 Indian Wells Masters SF,W vsSinner,19,25,0.8,13.0%,17.1%,19,23,0.8,13.7%,16.5%,11.5%,2.2%,0.5,14.4%,27.4%
2024 Indian Wells Masters QF,W vsZverev,17,17,1.0,16.7%,16.7%,17,17,1.0,17.5%,17.5%,13.4%,4.1%,0.4,9.8%,27.5%
2024 Indian Wells Masters R16,W vsMarozsan,35,17,2.1,32.7%,15.9%,31,15,2.1,31.6%,15.3%,11.2%,7.1%,1.0,17.8%,18.7%
2024 Indian Wells Masters R32,W vsAuger Aliassime,16,15,1.1,16.7%,15.6%,13,14,0.9,15.3%,16.5%,12.9%,1.2%,0.4,10.4%,24.0%
2024 Indian Wells Masters R64,W vsArnaldi,23,36,0.6,13.7%,21.4%,21,35,0.6,13.0%,21.6%,8.0%,4.3%,0.5,9.5%,20.8%
2024 Buenos Aires SF,L vsJarry,31,13,2.4,23.7%,9.9%,31,12,2.6,25.6%,9.9%,9.9%,4.1%,1.4,32.1%,22.1%
2024 Buenos Aires QF,W vsVavassori,28,14,2.0,21.2%,10.6%,26,13,2.0,20.6%,10.3%,15.9%,4.0%,0.6,10.6%,18.9%
2024 Buenos Aires R16,W vsUgo Carabelli,34,27,1.3,24.8%,19.7%,33,22,1.5,26.2%,17.5%,23.8%,2.4%,0.7,11.7%,16.1%
2024 Australian Open QF,L vsZverev,36,42,0.9,15.5%,18.0%,29,40,0.7,13.5%,18.6%,8.8%,4.7%,1.1,12.9%,12.0%
2024 Australian Open R16,W vsKecmanovic,43,22,2.0,28.1%,14.4%,38,22,1.7,26.4%,15.3%,18.1%,6.9%,0.5,8.5%,17.6%
2023 Tour Finals SF,L vsDjokovic,23,26,0.9,20.7%,23.4%,13,25,0.5,13.5%,26.0%,10.4%,2.1%,1.7,13.5%,8.1%
2023 Tour Finals RR,L vsZverev,33,30,1.1,17.5%,15.9%,22,28,0.8,13.9%,17.7%,9.5%,1.9%,1.6,21.7%,13.2%
2023 Tour Finals RR,W vsMedvedev,23,14,1.6,20.5%,12.5%,20,13,1.5,19.8%,12.9%,11.9%,5.0%,0.9,10.7%,12.5%
2023 Tour Finals RR,W vsRublev,40,10,4.0,37.0%,9.3%,35,10,3.5,36.5%,10.4%,10.4%,6.3%,1.4,21.3%,14.8%
