Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Indian Wells Masters R16,L vsRune,15,12,1.3,12.6%,10.1%,13,11,1.2,11.5%,9.7%,8.8%,2.7%,1.6,18.5%,11.8%
2025 Indian Wells Masters R64,W vsSeyboth Wild,28,13,2.2,23.3%,10.8%,23,12,1.9,21.5%,11.2%,16.8%,4.7%,0.6,11.7%,20.0%
2025 Dubai F,W vsAuger Aliassime,16,17,0.9,13.6%,14.4%,12,13,0.9,11.5%,12.5%,9.6%,1.9%,1.1,16.1%,14.4%
2025 Dubai SF,W vsGriekspoor,30,7,4.3,26.1%,6.1%,23,5,4.6,23.2%,5.1%,12.1%,10.1%,1.4,17.4%,12.2%
2025 Dubai QF,W vsBerrettini,20,22,0.9,12.2%,13.4%,13,20,0.7,8.7%,13.4%,4.7%,3.4%,1.9,17.7%,9.1%
2025 Doha R32,L vsMedjedovic,37,22,1.7,17.0%,10.1%,25,20,1.3,13.0%,10.4%,10.9%,1.6%,1.1,17.9%,15.6%
2025 Rotterdam QF,L vsBellucci,24,28,0.9,20.9%,24.3%,20,27,0.7,19.6%,26.5%,9.8%,2.9%,2.1,27.0%,13.0%
2025 Rotterdam R16,W vsGriekspoor,51,34,1.5,20.6%,13.8%,39,29,1.3,17.9%,13.3%,12.4%,5.0%,1.6,17.0%,10.9%
2025 Australian Open R128,L vsMichelsen,44,34,1.3,18.3%,14.2%,31,32,1.0,14.8%,15.3%,8.6%,4.3%,1.1,20.0%,18.3%
2025 United Cup RR,W vsCarreno Busta,53,45,1.2,30.1%,25.6%,40,39,1.0,26.3%,25.7%,13.8%,3.9%,1.3,18.2%,13.6%
2024 Paris Masters QF,L vsZverev,20,24,0.8,15.3%,18.3%,17,21,0.8,14.9%,18.4%,7.0%,6.1%,1.9,21.4%,11.5%
2024 Paris Masters R32,W vsTabilo,31,23,1.3,28.7%,21.3%,24,18,1.3,27.0%,20.2%,14.6%,0.0%,0.9,17.6%,20.4%
2024 Basel QF,L vsFils,38,16,2.4,29.9%,12.6%,29,14,2.1,28.2%,13.6%,5.8%,4.9%,3.0,33.1%,11.0%
2024 Antwerp QF,L vsLehecka,29,24,1.2,23.4%,19.4%,21,23,0.9,19.6%,21.5%,7.5%,2.8%,2.2,29.8%,13.7%
2024 Shanghai Masters R16,L vsMedvedev,33,33,1.0,22.6%,22.6%,29,29,1.0,23.2%,23.2%,10.4%,1.6%,2.4,30.8%,13.0%
2024 Tokyo R32,L vsMichelsen,26,29,0.9,19.3%,21.5%,21,25,0.8,17.9%,21.4%,9.4%,6.0%,1.8,20.0%,11.1%
2024 US Open R128,L vsKokkinakis,44,51,0.9,16.0%,18.5%,34,45,0.8,14.5%,19.1%,9.4%,3.0%,1.0,17.1%,16.7%
2024 Canada Masters R32,L vsNishikori,32,25,1.3,29.1%,22.7%,23,24,1.0,23.7%,24.7%,9.3%,2.1%,1.4,20.9%,15.5%
2024 Paris Olympics QF,L vsDjokovic,21,24,0.9,14.1%,16.1%,18,21,0.9,13.2%,15.4%,8.8%,4.4%,1.3,18.8%,14.1%
2024 Paris Olympics R16,W vsBaez,23,19,1.2,20.0%,16.5%,17,14,1.2,16.7%,13.7%,8.8%,5.9%,0.8,13.9%,17.4%
2024 Gstaad QF,W vsFognini,30,16,1.9,30.6%,16.3%,25,16,1.6,29.1%,18.6%,11.6%,3.5%,0.9,20.4%,22.4%
2024 Wimbledon R64,L vsRuusuvuori,51,38,1.3,19.1%,14.2%,31,32,1.0,13.5%,14.0%,9.2%,2.6%,1.3,15.4%,12.0%
2024 Wimbledon R128,W vsDaniel,55,32,1.7,24.0%,14.0%,40,30,1.3,20.0%,15.0%,14.0%,4.5%,1.9,14.4%,7.4%
2024 Halle R16,L vsStruff,32,16,2.0,28.8%,14.4%,27,13,2.1,28.7%,13.8%,7.4%,3.2%,4.2,34.2%,8.1%
2024 Roland Garros QF,L vsAlcaraz,26,27,1.0,14.3%,14.8%,24,23,1.0,14.0%,13.4%,7.6%,6.4%,1.5,13.7%,9.3%
2024 Roland Garros R32,W vsZhang,43,21,2.0,31.4%,15.3%,39,21,1.9,30.0%,16.2%,15.4%,4.6%,1.1,19.0%,16.8%
2024 Roland Garros R128,W vsFucsovics,38,27,1.4,19.4%,13.8%,35,25,1.4,18.8%,13.4%,13.4%,4.3%,1.3,14.8%,11.7%
2024 Rome Masters QF,L vsJarry,22,36,0.6,10.7%,17.5%,17,29,0.6,9.2%,15.8%,6.5%,1.1%,0.9,19.4%,20.9%
2024 Rome Masters R16,W vsDe Minaur,25,14,1.8,31.3%,17.5%,25,14,1.8,31.6%,17.7%,15.2%,5.1%,0.4,8.8%,25.0%
2024 Barcelona F,L vsRuud,17,24,0.7,14.5%,20.5%,14,20,0.7,13.2%,18.9%,8.5%,3.8%,1.3,16.2%,12.8%
2024 Barcelona R32,W vsOfner,17,29,0.6,12.4%,21.2%,14,27,0.5,11.1%,21.4%,6.3%,1.6%,0.7,16.8%,24.1%
2024 Monte Carlo Masters F,W vsRuud,30,19,1.6,23.4%,14.8%,27,18,1.5,22.3%,14.9%,15.7%,6.6%,1.3,15.6%,12.5%
2024 Monte Carlo Masters SF,W vsSinner,27,21,1.3,14.5%,11.3%,20,18,1.1,11.6%,10.4%,9.8%,1.7%,1.0,17.2%,17.2%
2024 Monte Carlo Masters QF,W vsKhachanov,21,16,1.3,20.8%,15.8%,14,13,1.1,15.7%,14.6%,13.5%,1.1%,0.6,13.9%,21.8%
2024 Monte Carlo Masters R16,W vsZverev,28,29,1.0,17.3%,17.9%,26,22,1.2,18.6%,15.7%,10.0%,7.1%,1.0,16.7%,16.7%
2024 Monte Carlo Masters R32,W vsEtcheverry,26,13,2.0,30.2%,15.1%,24,12,2.0,30.8%,15.4%,20.5%,9.0%,0.7,15.1%,22.1%
2024 Indian Wells Masters R16,L vsLehecka,8,19,0.4,7.1%,16.8%,4,15,0.3,4.1%,15.5%,4.1%,0.0%,1.7,23.9%,14.2%
2024 Indian Wells Masters R32,W vsTiafoe,25,18,1.4,21.7%,15.7%,14,17,0.8,14.0%,17.0%,8.0%,3.0%,0.7,13.0%,19.1%
2024 Acapulco QF,L vsDe Minaur,17,39,0.4,10.7%,24.5%,12,31,0.4,8.4%,21.7%,5.6%,2.8%,0.6,10.1%,18.2%
2024 Acapulco R32,W vsSafiullin,31,17,1.8,28.4%,15.6%,26,17,1.5,26.0%,17.0%,9.0%,1.0%,1.0,22.9%,22.9%
2024 Los Cabos SF,L vsRuud,36,30,1.2,25.5%,21.3%,24,29,0.8,19.5%,23.6%,14.6%,2.4%,1.3,14.9%,11.3%
